,uid,uid,pv,uid
m/pudongxinqu_shijigongyuansq/bdzxfg/,1.0,1.0,,
m/pudongxinqu_shijigongyuansq/bdzxfgmn/,1.0,1.0,,
m/pudongxinqu_tangqiao/,5.0,5.0,2.0,2.0
m/pudongxinqu_tangqiao/subwayd/,1.0,1.0,,
m/pudongxinqu_waigaoqiao/,8.0,7.0,2.0,2.0
m/pudongxinqu_waigaoqiao/a/,1.0,1.0,,
m/pudongxinqu_waigaoqiaosq/,12.0,12.0,12.0,11.0
m/pudongxinqu_waigaoqiaosq/b/,,,3.0,3.0
m/pudongxinqu_waigaoqiaosq/bculfg/,1.0,1.0,,
m/pudongxinqu_waigaoqiaosq/cu/,,,1.0,1.0
m/pudongxinqu_waigaoqiaosq/d/,,,2.0,2.0
m/pudongxinqu_waigaoqiaosq/subway_au/,1.0,1.0,,
m/pudongxinqu_waigaoqiaosq/subwayazx/,2.0,2.0,,
m/pudongxinqu_waigaoqiaosq/subwayzx/,1.0,1.0,,
m/pudongxinqu_weifang/subway/,9.0,9.0,,
m/pudongxinqu_yangjing/,4.0,4.0,,
m/pudongxinqu_yangjingsq/bdfg/,1.0,1.0,,
m/pudongxinqu_yangjingsq/subwaybzx/,2.0,2.0,,
m/pudongxinqu_yuanshenzhuyuan/,5.0,4.0,1.0,1.0
m/pudongxinqu_yuqiao/,3.0,3.0,,
m/pudongxinqu_yuqiao/subway/,1.0,1.0,,
m/pudongxinqu_yuqiaosq/,3.0,3.0,6.0,6.0
m/pudongxinqu_yuqiaosq/a/,1.0,1.0,,
m/pudongxinqu_yuqiaosq/ad/,,,1.0,1.0
m/pudongxinqu_yuqiaosq/bcl/,1.0,1.0,,
m/pudongxinqu_yuqiaosq/bdfgmn/,1.0,1.0,,
m/pudongxinqu_yuqiaosq/bzxlfg/,1.0,1.0,,
m/pudongxinqu_yuqiaosq/d/,,,1.0,1.0
m/pudongxinqu_yuqiaosq/subway/,1.0,1.0,,
m/pudongxinqu_yuqiaosq/subway_zx/,2.0,2.0,,
m/pudongxinqu_yuqiaosq/subwayazx/,1.0,1.0,,
m/pudongxinqu_yuqiaosq/subwaybcu/,1.0,1.0,,
m/pudongxinqu_yuqiaosq/subwaybfg/,1.0,1.0,,
m/pudongxinqu_yuqiaosq/subwaybzx/,1.0,1.0,,
m/pudongxinqu_yuqiaosq/subwaydzx/,3.0,3.0,,
m/pudongxinqu_zhangjiang/,102.0,100.0,67.0,67.0
m/pudongxinqu_zhangjiang/ab/,1.0,1.0,,
m/pudongxinqu_zhangjiang/b/,1.0,1.0,1.0,1.0
m/pudongxinqu_zhangjiang/cu/,,,1.0,1.0
m/pudongxinqu_zhangjiang/subwaya/,1.0,1.0,,
m/pudongxinqu_zhangjiang/subwaybd/,1.0,1.0,,
m/pudongxinqu_zhangjianggaokesq/,8.0,8.0,20.0,20.0
m/pudongxinqu_zhangjianggaokesq/ab/,,,1.0,1.0
m/pudongxinqu_zhangjianggaokesq/abcutzx/,1.0,1.0,,
m/pudongxinqu_zhangjianggaokesq/abi/,1.0,1.0,1.0,1.0
m/pudongxinqu_zhangjianggaokesq/alfg/,8.0,8.0,,
m/pudongxinqu_zhangjianggaokesq/au/,,,2.0,2.0
m/pudongxinqu_zhangjianggaokesq/b/,,,2.0,2.0
m/pudongxinqu_zhangjianggaokesq/bdzxl/,9.0,9.0,,
m/pudongxinqu_zhangjianggaokesq/bdzxlfg/,1.0,1.0,,
m/pudongxinqu_zhangjianggaokesq/bdzxmn/,1.0,1.0,,
m/pudongxinqu_zhangjianggaokesq/bzx/,1.0,1.0,,
m/pudongxinqu_zhangjianggaokesq/bzxlmn/,1.0,1.0,,
m/pudongxinqu_zhangjianggaokesq/d/,,,1.0,1.0
m/pudongxinqu_zhangjianggaokesq/fgn/,,,1.0,1.0
m/pudongxinqu_zhangjianggaokesq/subwayazx/,1.0,1.0,,
m/pudongxinqu_zhuyuanshangmaoqu/,17.0,17.0,2.0,2.0
m/pudongxinqu_zhuyuanshangmaoqusq/adzxlfg/,1.0,1.0,,
m/pudongxinqu_zhuyuanshangmaoqusq/b/,1.0,1.0,1.0,1.0
m/pudongxinqu_zhuyuanshangmaoqusq/zxlmn/,1.0,1.0,,
m/pujiang_chaoyanghu/bl/,1.0,1.0,,
m/pujiang_heshan/,1.0,1.0,,
m/putuo/,36.0,35.0,42.0,42.0
m/putuo/a/,7.0,7.0,5.0,3.0
m/putuo/abc/,1.0,1.0,,
m/putuo/abduzxl/,3.0,3.0,,
m/putuo/adlfg/,4.0,4.0,,
m/putuo/adzxfg/,2.0,2.0,,
m/putuo/au/,3.0,3.0,1.0,1.0
m/putuo/azxfg/,1.0,1.0,,
m/putuo/b/,2.0,2.0,1.0,1.0
m/putuo/bcuzxl/,,,1.0,1.0
m/putuo/bd/,,,1.0,1.0
m/putuo/bdzx/,1.0,1.0,,
m/putuo/bdzxlfg/,1.0,1.0,,
m/putuo/bdzxlmn/,1.0,1.0,,
m/putuo/bdzxmn/,1.0,1.0,,
m/putuo/blmn/,1.0,1.0,,
m/putuo/bln/,,,1.0,1.0
m/putuo/cuzxl/,1.0,1.0,,
m/putuo/d/,6.0,6.0,4.0,4.0
m/putuo/dzxlfg/,1.0,1.0,,
m/putuo/eusl/,4.0,4.0,,
m/putuo/fg/,1.0,1.0,1.0,1.0
m/putuo/i/,,,1.0,1.0
m/putuo/subway/,17.0,17.0,,
m/putuo/subway_/,3.0,3.0,,
m/putuo/subway_acu/,1.0,1.0,,
m/putuo/subway_bd/,,,1.0,1.0
m/putuo/subway_bzx/,1.0,1.0,,
m/putuo/subway_d/,1.0,1.0,,
m/putuo/subway_dl/,1.0,1.0,,
m/putuo/subwayabdul/,2.0,2.0,,
m/putuo/subwayabduzx/,,,1.0,1.0
m/putuo/subwayafg/,1.0,1.0,,
m/putuo/subwayalfg/,5.0,5.0,,
m/putuo/subwaybcufg/,1.0,1.0,,
m/putuo/subwaybcuzx/,8.0,8.0,,
m/putuo/subwaybcuzxlfg/,1.0,1.0,,
m/putuo/subwaybd/,2.0,2.0,,
m/putuo/subwaybdfg/,1.0,1.0,,
m/putuo/subwaybdlfg/,1.0,1.0,,
m/putuo/subwaybdmn/,2.0,2.0,,
m/putuo/subwaybdp/,1.0,1.0,,
m/putuo/subwaybdzxfg/,1.0,1.0,1.0,1.0
m/putuo/subwaybdzxfgmn/,2.0,2.0,,
m/putuo/subwaybdzxl/,1.0,1.0,,
m/putuo/subwaybdzxlfg/,2.0,2.0,,
m/putuo/subwaybdzxlmn/,3.0,3.0,,
m/putuo/subwaybdzxmn/,,,1.0,1.0
m/putuo/subwaybulhk/,1.0,1.0,,
m/putuo/subwaybzxlfg/,1.0,1.0,,
m/putuo/subwaybzxmn/,1.0,1.0,,
m/putuo/subwayceuszxl/,1.0,1.0,,
m/putuo/subwaycu/,4.0,4.0,,
m/putuo/subwaycuzxl/,2.0,2.0,,
m/putuo/subwaydfg/,3.0,3.0,,
m/putuo/subwaydlfg/,2.0,2.0,,
m/putuo/subwaydzxfg/,11.0,11.0,,
m/putuo/subwaydzxfgmn/,1.0,1.0,,
m/putuo/subwaydzxlfg/,24.0,24.0,,
m/putuo/subwaydzxlmn/,1.0,1.0,1.0,1.0
m/putuo/subwaydzxmn/,1.0,1.0,,
m/putuo/subwayfg/,1.0,1.0,,
m/putuo/subwayfgmn/,1.0,1.0,,
m/putuo/subwayuzxfg/,1.0,1.0,,
m/putuo/subwayuzxlfg/,1.0,1.0,,
m/putuo/subwayzxfg/,1.0,1.0,,
m/putuo/subwayzxlfg/,9.0,9.0,,
m/putuo/subwayzxlfgmn/,6.0,6.0,,
m/putuo/subwayzxlmn/,1.0,1.0,,
m/putuo/u/,1.0,1.0,,
m/putuo/uzxlfg/,1.0,1.0,,
m/putuo/zx/,1.0,1.0,,
m/putuo/zxfgmn/,3.0,3.0,,
m/putuo_caoyangxincun/,44.0,42.0,20.0,20.0
m/putuo_changfengshangwuqusq/,,,9.0,9.0
m/putuo_changfengshangwuqusq/ab/,,,1.0,1.0
m/putuo_changfengshangwuqusq/b/,,,1.0,1.0
m/putuo_changfengshangwuqusq/bdzxfg/,1.0,1.0,,
m/putuo_changfengshangwuqusq/d/,,,2.0,2.0
m/putuo_changfengshangwuqusq/subway_/,1.0,1.0,,
m/putuo_changfengshangwuqusq/ul/,1.0,1.0,,
m/putuo_changshoulusq/,1.0,1.0,5.0,5.0
m/putuo_changshoulusq/b/,,,1.0,1.0
m/putuo_changshoulusq/bdlmn/,1.0,1.0,,
m/putuo_changshoulusq/subway/,2.0,2.0,,
m/putuo_changshoulusq/subway_/,1.0,1.0,,
m/putuo_changshoulusq/subwaybcufg/,1.0,1.0,,
m/putuo_changshoulusq/subwaybcul/,8.0,8.0,,
m/putuo_changshoulusq/subwaycu/,8.0,8.0,,
m/putuo_changshoulusq/subwaydfg/,7.0,7.0,,
m/putuo_changshoulusq/subwaydlfg/,1.0,1.0,,
m/putuo_changshoulusq/subwayzxlfg/,1.0,1.0,,
m/putuo_changzheng/,3.0,3.0,1.0,1.0
m/putuo_ganquanlu/,2.0,2.0,,
m/putuo_ganquanyichuansq/au/,,,1.0,1.0
m/putuo_guangxin/,1.0,1.0,1.0,1.0
m/putuo_huashida/,3.0,3.0,,
m/putuo_jiangninglu/subwayzx/,1.0,1.0,,
m/putuo_jinshajianglu/,18.0,18.0,16.0,14.0
m/putuo_jinshajianglu/subway_/,,,1.0,1.0
m/putuo_liziyuan/,2.0,2.0,,
m/putuo_liziyuan/bdzx/,1.0,1.0,,
m/putuo_putuoqita/,6.0,6.0,3.0,3.0
m/putuo_shiquanlu/,1.0,1.0,2.0,2.0
m/putuo_taopu/,21.0,21.0,4.0,3.0
m/putuo_wanlicheng/,1.0,1.0,,
m/putuo_wuninglu/,5.0,5.0,,
m/putuo_wuninglu/subway_b/,,,1.0,1.0
m/putuo_yichuanlu/,1.0,1.0,,
m/putuo_zhangfengxincun/,35.0,35.0,7.0,7.0
m/putuo_zhangshoulu/,37.0,37.0,16.0,16.0
m/putuo_zhangshoulu/d/,,,1.0,1.0
m/putuo_zhangshoulu/subwaybcuzxl/,1.0,1.0,,
m/putuo_zhenru/,15.0,15.0,9.0,7.0
m/putuo_zhenru/subwayabl/,1.0,1.0,,
m/putuo_zhongshanbeilu/,1.0,1.0,,
m/putuo_zhongshanbeilu/d/,1.0,1.0,,
m/putuo_zhongshanbeilusq/,24.0,22.0,6.0,6.0
m/putuo_zhongshanbeilusq/b/,,,1.0,1.0
m/putuo_zhongshanbeilusq/bcuzxl/,12.0,12.0,,
m/putuo_zhongshanbeilusq/subway_/,,,1.0,1.0
m/putuo_zhongshanbeilusq/subwayades/,8.0,8.0,,
m/putuo_zhongshanbeilusq/subwaydzxfg/,10.0,10.0,,
m/putuo_zhongshanbeilusq/zx/,1.0,1.0,,
m/putuo_zhongyuanliangwancheng/,2.0,2.0,,
m/putuo_zhongyuanliangwanchengsq/dzxfg/,1.0,1.0,,
m/putuo_zrlzysq/,4.0,4.0,7.0,7.0
m/putuo_zrlzysq/b/,1.0,1.0,1.0,1.0
m/putuo_zrlzysq/bd/,,,1.0,1.0
m/putuo_zrlzysq/bdfg/,1.0,1.0,,
m/putuo_zrlzysq/cuzxlhk/,1.0,1.0,,
m/putuo_zrlzysq/subwaybdl/,1.0,1.0,,
m/putuo_zrlzysq/ufg/,1.0,1.0,,
m/qd/,9.0,9.0,4.0,4.0
m/qd/chengyangqu/f-zhong/,1.0,1.0,,
m/qd/huayanglu/f-j-xiao/,1.0,1.0,,
m/qd/jiaonanshi/j-zhong/,,,1.0,1.0
m/qd/jimoshib/f-j-xiao/,1.0,1.0,1.0,1.0
m/qd/laixishi/j-xiao/,3.0,3.0,1.0,1.0
m/qd/laoshanqu/f-j-xiao/,4.0,3.0,2.0,2.0
m/qd/laoshanqu/f-j-zhong/,2.0,2.0,,
m/qd/licangqu/f-j-zhong/,1.0,1.0,1.0,1.0
m/qd/pingdushi/f-j-xiao/,3.0,3.0,,
m/qd/shibeiqu/j-xiao/,3.0,3.0,3.0,3.0
m/qd/shinanqu/f-j-xiao/,3.0,3.0,1.0,1.0
m/qd/sifangqu/f-j-xiao/,1.0,1.0,1.0,1.0
m/qd/xiazhuang/f-j-xiao/,1.0,1.0,,
m/qd/zhong/,15.0,15.0,4.0,4.0
m/qiaokou/,,,9.0,9.0
m/qiaokou/a/,,,1.0,1.0
m/qiaokou_qiaokoulusq/ad/,,,1.0,1.0
m/qiaokou_qiaokousq/,,,1.0,1.0
m/qing/subway/,2.0,2.0,,
m/qing/subway_ab/,1.0,1.0,,
m/qing/subway_b/,1.0,1.0,,
m/qing/subway_bu/,1.0,1.0,,
m/qing/subwaybl/,10.0,10.0,,
m/qing/subwayl/,10.0,10.0,,
m/qingpu/,28.0,26.0,42.0,39.0
m/qingpu/a/,,,2.0,2.0
m/qingpu/abdtzxlp/,1.0,1.0,,
m/qingpu/au/,,,1.0,1.0
m/qingpu/aut/,,,1.0,1.0
m/qingpu/azxlfg/,1.0,1.0,,
m/qingpu/b/,1.0,1.0,1.0,1.0
m/qingpu/bdzxlmn/,1.0,1.0,,
m/qingpu/c/,1.0,1.0,,
m/qingpu/cu/,1.0,1.0,,
m/qingpu/dlfg/,1.0,1.0,,
m/qingpu/fg/,9.0,9.0,,
m/qingpu/subway/,1.0,1.0,,
m/qingpu/subway_/,1.0,1.0,,
m/qingpu/subway_atzx/,1.0,1.0,,
m/qingpu/subway_au/,3.0,3.0,,
m/qingpu/subway_aul/,1.0,1.0,,
m/qingpu/subway_azx/,2.0,2.0,,
m/qingpu/subway_azxl/,2.0,2.0,,
m/qingpu/subway_bdzx/,2.0,2.0,,
m/qingpu/subway_bzx/,4.0,4.0,,
m/qingpu/subway_cul/,1.0,1.0,,
m/qingpu/subway_d/,1.0,1.0,,
m/qingpu/subway_zxfgp/,1.0,1.0,,
m/qingpu/subwayabcuzxl/,1.0,1.0,,
m/qingpu/subwayabdzxl/,1.0,1.0,,
m/qingpu/subwayacutzxl/,1.0,1.0,,
m/qingpu/subwayazxfg/,1.0,1.0,,
m/qingpu/subwayazxlfg/,,,1.0,1.0
m/qingpu/subwaybmn/,1.0,1.0,,
m/qingpu/subwaybzxmn/,2.0,2.0,,
m/qingpu/subwaycu/,1.0,1.0,,
m/qingpu/subwaydlfg/,1.0,1.0,,
m/qingpu/subwaydzxfg/,3.0,3.0,1.0,1.0
m/qingpu/subwaydzxlfg/,8.0,8.0,,
m/qingpu/subwayfgp/,9.0,9.0,,
m/qingpu/subwaylfgmn/,1.0,1.0,,
m/qingpu/subwaylmn/,2.0,2.0,,
m/qingpu/zxfg/,8.0,8.0,,
m/qingpu_huaxinzhen/,10.0,10.0,4.0,4.0
m/qingpu_qingpugongyeyuanqu/,2.0,2.0,,
m/qingpu_qingpugongyeyuanqu/subway/,6.0,6.0,,
m/qingpu_qingpuqitasq/b/,,,1.0,1.0
m/qingpu_qingpuqitasq/cu/,,,1.0,1.0
m/qingpu_qingpusq/,34.0,32.0,21.0,21.0
m/qingpu_qingpuxincheng/,2.0,2.0,2.0,2.0
m/qingpu_qingpuxincheng/subwayadzx/,1.0,1.0,,
m/qingpu_qingpuzhoubian/,3.0,3.0,,
m/qingpu_qingpuzhoubian/subwaydzxl/,,,1.0,1.0
m/qingpu_xianghuaqiao/subwaybul/,5.0,5.0,,
m/qingpu_xiayangjiedao/,7.0,7.0,4.0,4.0
m/qingpu_xujing/,17.0,17.0,13.0,12.0
m/qingpu_xujing/b/,,,1.0,1.0
m/qingpu_zhaoxiang/,10.0,10.0,1.0,1.0
m/qingpu_zhonggu/,2.0,2.0,,
m/qingshan/,1.0,1.0,7.0,7.0
m/qingshan/subway_/,1.0,1.0,,
m/qingshan_jiansheqilu/zx/,1.0,1.0,,
m/qingyang/,4.0,4.0,17.0,17.0
m/qingyang/a/,1.0,1.0,,
m/qingyang/abcuzxl/,1.0,1.0,,
m/qingyang/b/,1.0,1.0,1.0,1.0
m/qingyang/l/,,,1.0,1.0
m/qingyang_babaojiesq/,3.0,3.0,7.0,6.0
m/qingyang_babaojiesq/b/,,,2.0,2.0
m/qingyang_babaojiesq/bzx/,,,1.0,1.0
m/qingyang_baiguolin/b/,1.0,1.0,,
m/qingyang_beisensq/,2.0,2.0,2.0,2.0
m/qingyang_beisensq/subway_/,,,1.0,1.0
m/qingyang_caoshijie/bdl/,1.0,1.0,,
m/qingyang_caotang/,1.0,1.0,,
m/qingyang_jinshasq/,3.0,3.0,4.0,4.0
m/qingyang_neiguanghuasq/,17.0,16.0,11.0,11.0
m/qingyang_qingyangdadaosq/,,,1.0,1.0
m/qingyang_qingyangdadaosq/atzx/,,,1.0,1.0
m/qingyang_qingyangdadaosq/subwayadl/,7.0,7.0,,
m/qingyang_qingyangqita/subwaydzx/,1.0,1.0,,
m/qingyang_shunchengjiesq/,1.0,1.0,3.0,3.0
m/qingyang_shunchengjiesq/bdl/,1.0,1.0,,
m/qingyang_shunchengjiesq/subwaybdzx/,1.0,1.0,,
m/qingyang_tonghuimensq/,11.0,9.0,4.0,4.0
m/qingyang_wangjiaguai/,1.0,1.0,,
m/qingyang_wangjiaguai/subwaybdzxl/,,,1.0,1.0
m/qingyang_xiyuhe/bd/,,,1.0,1.0
m/qionglai_tiantaishan/abuzxl/,1.0,1.0,,
m/qujiangqu/f-j-xiao/,2.0,2.0,,
m/quyu/tonghuimen/,5.0,5.0,,
m/qz/anxixian/f-xiao/,1.0,1.0,,
m/qz/dehuaxian/j-xiao/,14.0,14.0,5.0,5.0
m/qz/fengzequ/f-j-xiao/,1.0,1.0,,
m/qz/huianxian/f-xiao/,1.0,1.0,,
m/qz/jinjiangshi/f-j-xiao/,1.0,1.0,,
m/qz/luojiangqu/f-j-xiao/,2.0,2.0,,
m/rental/broker/-/,1.0,1.0,,
m/rental/subway_/,,,1.0,1.0
m/sh/subwaydl/,1.0,1.0,,
m/shangcheng/,2.0,2.0,2.0,2.0
m/shangcheng_dinganlu/,,,1.0,1.0
m/shangcheng_huanchengdonglu/bd/,5.0,5.0,,
m/shangcheng_longxiangqiaosq/,4.0,4.0,,
m/shangcheng_nanfulu/a/,1.0,1.0,,
m/shangcheng_xiongzhenlou/b/,1.0,1.0,,
m/shangcheng_yananlu/,1.0,1.0,,
m/shanghaizhoubian/,3.0,3.0,8.0,8.0
m/shanghaizhoubian/aulfg/,,,1.0,1.0
m/shanghaizhoubian/bcuzxlfg/,1.0,1.0,,
m/shanghaizhoubian/bdtzxlfg/,1.0,1.0,,
m/shanghaizhoubian/bdzxfg/,1.0,1.0,,
m/shanghaizhoubian/bdzxfgmn/,2.0,2.0,,
m/shanghaizhoubian/bdzxlfg/,3.0,3.0,,
m/shanghaizhoubian/blfg/,1.0,1.0,,
m/shanghaizhoubian/bzxlfg/,1.0,1.0,,
m/shanghaizhoubian/lfg/,1.0,1.0,,
m/shanghaizhoubian/subway_/,2.0,2.0,,
m/shanghaizhoubian/subwayaczx/,1.0,1.0,,
m/shanghaizhoubian/subwaybdzx/,1.0,1.0,,
m/shanghaizhoubian_jiaxing/bcuzxl/,1.0,1.0,,
m/shanghaizhoubian_kunshan/,12.0,12.0,5.0,5.0
m/shijingshan/,73.0,70.0,109.0,99.0
m/shijingshan/a/,27.0,27.0,3.0,3.0
m/shijingshan/ab/,1.0,1.0,,
m/shijingshan/adfg/,7.0,7.0,,
m/shijingshan/azx/,,,1.0,1.0
m/shijingshan/b/,1.0,1.0,4.0,4.0
m/shijingshan/bdzxfg/,1.0,1.0,,
m/shijingshan/bt/,,,1.0,1.0
m/shijingshan/d/,,,3.0,2.0
m/shijingshan/l/,,,1.0,1.0
m/shijingshan/lfg/,10.0,10.0,,
m/shijingshan/subway_/,2.0,2.0,,
m/shijingshan/subway_au/,2.0,2.0,,
m/shijingshan/subway_zx/,1.0,1.0,,
m/shijingshan/subwaya/,1.0,1.0,,
m/shijingshan/subwayabcuzxl/,1.0,1.0,,
m/shijingshan/subwayabdzx/,1.0,1.0,,
m/shijingshan/subwayabul/,9.0,9.0,,
m/shijingshan/subwayacu/,1.0,1.0,,
m/shijingshan/subwayau/,2.0,2.0,,
m/shijingshan/subwaybcuzxl/,8.0,8.0,,
m/shijingshan/subwaybtzxl/,9.0,9.0,,
m/shijingshan/subwaybzxlmn/,1.0,1.0,,
m/shijingshan/subwaybzxmn/,1.0,1.0,,
m/shijingshan/subwaydfg/,10.0,10.0,,
m/shijingshan/subwaydzxlfg/,1.0,1.0,,
m/shijingshan/subwayfg/,1.0,1.0,,
m/shijingshan/subwayfgp/,9.0,9.0,,
m/shijingshan/subwayzxfg/,6.0,6.0,,
m/shijingshan_babaoshan/subwaybcu/,1.0,1.0,,
m/shijingshan_badachu/,6.0,6.0,4.0,4.0
m/shijingshan_badachusq/,2.0,2.0,,
m/shijingshan_badachusq/abdzxl/,1.0,1.0,,
m/shijingshan_badachusq/subwaybzx/,1.0,1.0,,
m/shijingshan_bajiao/,7.0,7.0,3.0,3.0
m/shijingshan_bajiaosq/,3.0,3.0,1.0,1.0
m/shijingshan_bajiaosq/culhk/,1.0,1.0,,
m/shijingshan_guchengsq/,3.0,3.0,4.0,4.0
m/shijingshan_guchengsq/b/,,,1.0,1.0
m/shijingshan_guchengsq/fgmn/,,,1.0,1.0
m/shijingshan_guchengsq/subwaybcuzx/,1.0,1.0,,
m/shijingshan_lgbbssq/,2.0,2.0,2.0,2.0
m/shijingshan_lgbbssq/d/,,,1.0,1.0
m/shijingshan_lugu/#tt_daymode=,,,1.0,1.0
m/shijingshan_pingguoyuansq/,6.0,6.0,1.0,1.0
m/shijingshan_yangzhuangsq/,3.0,3.0,1.0,1.0
m/shijingshan_yongle/subwaybdl/,1.0,1.0,,
m/shijingshan_yuquanlu/,1.0,1.0,,
m/shijingshan_yuquanlusq/,2.0,2.0,3.0,3.0
m/shijingshan_yuquanlusq/subway/,1.0,1.0,,
m/shijingshan_yuquanlusq/subway_au/,1.0,1.0,,
m/shouse/,19.0,19.0,129.0,128.0
m/shouxiezilou/,31.0,31.0,85.0,85.0
m/shouxiezilou/b/,6.0,6.0,1.0,1.0
m/shouxiezilou/bct/,1.0,1.0,,
m/shouxiezilou/du/,1.0,1.0,2.0,2.0
m/shouxiezilou/dufg/,1.0,1.0,,
m/shouxiezilou/p/,11.0,11.0,,
m/shouxiezilou/subway_bduzxl/,,,1.0,1.0
m/shouxiezilou/subwaybc/,2.0,2.0,,
m/shouxiezilou/subwaybczxlfg/,1.0,1.0,,
m/shouxiezilou/subwaybdulfg/,2.0,2.0,,
m/shouxiezilou/subwaybdzxl/,1.0,1.0,,
m/shouxiezilou/subwaychk/,1.0,1.0,,
m/shuangliu/,7.0,7.0,,
m/shuangliu_gongxing/,3.0,3.0,,
m/shuangliu_hejiang/,1.0,1.0,,
m/shuangliu_huangjia/bl/,1.0,1.0,,
m/shuangliu_shengli/dzx/,1.0,1.0,,
m/shuangliu_shengli/subwaybdzxl/,1.0,1.0,,
m/shunyi/,109.0,109.0,92.0,92.0
m/shunyi/a/,12.0,12.0,2.0,2.0
m/shunyi/ac/,,,1.0,1.0
m/shunyi/acuzx/,1.0,1.0,,
m/shunyi/au/,2.0,2.0,,
m/shunyi/b/,1.0,1.0,2.0,2.0
m/shunyi/bcutzxlfg/,1.0,1.0,,
m/shunyi/bcuzxfg/,1.0,1.0,,
m/shunyi/bd/,,,1.0,1.0
m/shunyi/bdlmn/,1.0,1.0,,
m/shunyi/bdzxlmn/,1.0,1.0,,
m/shunyi/d/,,,1.0,1.0
m/shunyi/dzxlmn/,1.0,1.0,,
m/shunyi/subway/,1.0,1.0,,
m/shunyi/subway_/,1.0,1.0,,
m/shunyi/subway_ad/,1.0,1.0,,
m/shunyi/subway_bzx/,1.0,1.0,,
m/shunyi/subway_ul/,1.0,1.0,,
m/shunyi/subwayazx/,1.0,1.0,,
m/shunyi/subwaybzx/,1.0,1.0,,
m/shunyi/subwaydfg/,1.0,1.0,,
m/shunyi/zx/,4.0,4.0,,
m/shunyi_guangming/,1.0,1.0,,
m/shunyi_jichang/,2.0,2.0,,
m/shunyi_liqiao/dzx/,1.0,1.0,,
m/shunyi_mapo/,1.0,1.0,,
m/shunyi_nancai/,1.0,1.0,,
m/shunyi_pingguoyuan/subway/,1.0,1.0,,
m/shunyi_shengli/,1.0,1.0,1.0,1.0
m/shunyi_shunyichengqu/,10.0,9.0,4.0,4.0
m/shunyi_shunyisq/,10.0,10.0,6.0,6.0
m/shunyi_tianzhu/,2.0,2.0,,
m/sjz/,11.0,11.0,5.0,5.0
m/sjz/d/,1.0,1.0,,
m/sjz/diandajie/f-j-xiao/,1.0,1.0,,
m/sjz/diandajie/j-zhong/,1.0,1.0,,
m/sjz/dongerhuanwai/f-j-xiao/,1.0,1.0,,
m/sjz/f-zhong/,1.0,1.0,1.0,1.0
m/sjz/gexinjie/j-zhong/,,,1.0,1.0
m/sjz/kaifaqu/f-j-xiao/,1.0,1.0,,
m/sjz/kaifaqu/f-j-zhong/,,,1.0,1.0
m/sjz/luquanshi/f-j-xiao/,1.0,1.0,,
m/sjz/luquanshi/f-xiao/,1.0,1.0,,
m/sjz/nanchangjie/f-j-xiao/,1.0,1.0,,
m/sjz/xierhuanwai/f-j-zhong/,1.0,1.0,,
m/sjz/zhong/,11.0,11.0,2.0,2.0
m/sjz/zhonghuanandajie/f-j-xiao/,1.0,1.0,,
m/songjiang/,54.0,53.0,48.0,46.0
m/songjiang/a/,5.0,5.0,1.0,1.0
m/songjiang/au/,2.0,2.0,,
m/songjiang/b/,,,1.0,1.0
m/songjiang/b/o/,1.0,1.0,,
m/songjiang/bcuzxlfg/,1.0,1.0,,
m/songjiang/bd/,,,1.0,1.0
m/songjiang/cu/,2.0,2.0,,
m/songjiang/d/,,,2.0,2.0
m/songjiang/dl/,1.0,1.0,,
m/songjiang/gm/,,,1.0,1.0
m/songjiang/p/,,,1.0,1.0
m/songjiang/subway/,1.0,1.0,,
m/songjiang/subway_/,3.0,3.0,1.0,1.0
m/songjiang/subway_a/,1.0,1.0,,
m/songjiang/subway_bzx/,1.0,1.0,,
m/songjiang/subway_u/,1.0,1.0,,
m/songjiang/subway_uzx/,1.0,1.0,,
m/songjiang/subwayabdzxl/,1.0,1.0,,
m/songjiang/subwayazxfgmn/,1.0,1.0,,
m/songjiang/subwayazxl/,1.0,1.0,,
m/songjiang/subwaybcutzxl/,1.0,1.0,,
m/songjiang/subwaybu/,1.0,1.0,,
m/songjiang/subwaycu/,1.0,1.0,,
m/songjiang/subwaydzxlfg/,1.0,1.0,,
m/songjiang/subwayzxl/,1.0,1.0,,
m/songjiang/subwayzxlfgmn/,1.0,1.0,,
m/songjiang/zx/,1.0,1.0,,
m/songjiang_chedun/,1.0,1.0,1.0,1.0
m/songjiang_fangsong/,1.0,1.0,,
m/songjiang_jiuting/,20.0,20.0,12.0,12.0
m/songjiang_jtxqsq/,95.0,84.0,58.0,57.0
m/songjiang_jtxqsq/abdzx/,,,1.0,1.0
m/songjiang_jtxqsq/b/,,,2.0,2.0
m/songjiang_jtxqsq/bd/,,,1.0,1.0
m/songjiang_liugang/d/,1.0,1.0,,
m/songjiang_liugang/subwaydzxl/,1.0,1.0,,
m/songjiang_sheshan/subwayabl/,1.0,1.0,,
m/songjiang_sijing/,20.0,19.0,10.0,10.0
m/songjiang_sijingsq/,11.0,10.0,7.0,7.0
m/songjiang_sijingsq/a/,1.0,1.0,,
m/songjiang_sijingsq/subway_/,2.0,2.0,,
m/songjiang_sijingsq/subway_au/,1.0,1.0,,
m/songjiang_sijingsq/subway_azx/,1.0,1.0,,
m/songjiang_sijingsq/subway_bzx/,1.0,1.0,,
m/songjiang_sijingsq/subway_u/,2.0,2.0,,
