date	cat	city	pv
4-5	商业	深圳	4741
4-6	商业	深圳	5204
4-7	商业	深圳	6245
4-8	商业	深圳	7029
4-9	商业	深圳	7142
4-10	商业	深圳	7866
4-11	商业	深圳	6591
4-12	商业	深圳	6205
4-13	商业	深圳	5604
4-14	商业	深圳	6704
4-15	商业	深圳	7585
4-16	商业	深圳	7575
4-17	商业	深圳	7653
4-18	商业	深圳	6982
4-19	商业	深圳	6752
4-20	商业	深圳	5663
4-21	商业	深圳	8090
4-22	商业	深圳	7819
4-23	商业	深圳	7694
4-24	商业	深圳	7973
4-25	商业	深圳	7549
4-26	商业	深圳	6071
4-27	商业	深圳	5864
4-28	商业	深圳	7403
4-29	商业	深圳	8086
4-30	商业	深圳	6708
5-1	商业	深圳	4716
5-2	商业	深圳	5379
5-3	商业	深圳	6568
5-4	商业	深圳	8824
5-5	商业	深圳	8776
5-6	商业	深圳	8089
5-7	商业	深圳	7936
5-8	商业	深圳	8467
5-9	商业	深圳	7373
5-10	商业	深圳	6682
5-11	商业	深圳	5813
5-12	商业	深圳	7493
5-13	商业	深圳	7412
5-14	商业	深圳	8352
5-15	商业	深圳	7956
5-16	商业	深圳	6980
5-17	商业	深圳	6392
5-18	商业	深圳	6094
5-19	商业	深圳	8070
5-20	商业	深圳	7380
5-21	商业	深圳	7828
5-22	商业	深圳	7372
5-23	商业	深圳	7211
5-24	商业	深圳	6044
5-25	商业	深圳	5685
5-26	商业	深圳	7420
5-27	商业	深圳	7872
5-28	商业	深圳	7052
5-29	商业	深圳	7219
5-30	商业	深圳	6248
5-31	商业	深圳	5024
6-1	商业	深圳	4055
6-2	商业	深圳	3682
6-3	商业	深圳	6639
6-4	商业	深圳	7354
6-5	商业	深圳	6896
6-6	商业	深圳	7013
6-7	商业	深圳	6174
6-8	商业	深圳	6649
6-9	商业	深圳	7602
6-10	商业	深圳	7871
6-11	商业	深圳	7577
6-12	商业	深圳	7421
6-13	商业	深圳	5935
6-14	商业	深圳	4823
6-15	商业	深圳	5522
6-16	商业	深圳	6841
6-17	商业	深圳	6779
6-18	商业	深圳	6029
6-19	商业	深圳	6654
6-20	商业	深圳	5660
6-21	商业	深圳	4717
6-22	商业	深圳	4876
6-23	商业	深圳	6098
6-24	商业	深圳	6164
6-25	商业	深圳	6870
6-26	商业	深圳	6610
6-27	商业	深圳	6515
6-28	商业	深圳	5737
6-29	商业	深圳	4747
6-30	商业	深圳	6880
